2015-03-07 16:00:00,0
2015-03-14 17:00:00,0
2015-03-21 17:00:00,1
2015-03-28 17:00:00,3
2015-04-04 17:00:00,3
2015-04-11 17:00:00,0
2015-04-18 17:00:00,0
2015-04-25 17:00:00,0
2015-05-02 17:00:00,1
2015-05-09 17:00:00,1
2015-05-16 17:00:00,1
2015-05-23 17:00:00,0
2015-05-30 17:00:00,0
2015-06-06 17:00:00,0
2015-06-13 17:00:00,0
2015-06-20 17:00:00,0
2015-06-27 17:00:00,2
2015-07-04 17:00:00,0
2015-07-11 17:00:00,0
2015-07-18 17:00:00,0
2015-07-25 17:00:00,0
2015-08-01 17:00:00,0
2015-08-08 17:00:00,0
2015-08-15 17:00:00,1
2015-08-22 17:00:00,0
2015-08-29 17:00:00,0
2015-09-05 17:00:00,1
2015-09-12 17:00:00,1
2015-09-19 17:00:00,0
2015-09-26 17:00:00,0
2015-10-03 17:00:00,0
2015-10-10 17:00:00,0
2015-10-17 17:00:00,13
2015-10-24 17:00:00,7
2015-10-31 17:00:00,1
2015-11-07 16:00:00,7
2015-11-14 16:00:00,0
2015-11-21 16:00:00,1
2015-11-28 16:00:00,0
2015-12-05 16:00:00,1
2015-12-12 16:00:00,2
2015-12-19 16:00:00,0
2015-12-26 16:00:00,1
2016-01-02 16:00:00,0
2016-01-09 16:00:00,1
2016-01-16 16:00:00,1
2016-01-23 16:00:00,1
2016-01-30 16:00:00,1
2016-02-06 16:00:00,4
2016-02-13 16:00:00,2
2016-02-20 16:00:00,0
2016-02-27 16:00:00,0
