name,link,date
Letter to Senators urging them to vote against the Senate 2016 Budget Resolution,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-urging-them-to-vote-against-the-Senate-2016-Budget-Resolution,"March 26, 2015"
Letter to Representatives urging them to vote against the reckless House 2016 Budget Resolution (H Con Res. 27),ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-urging-them-to-vote-against-the-reckless-House-2016-Budget-Resolution-H-Con-Res.-27,"March 24, 2015"
Letter to Representatives in support of a clean funding bill for the Department of Homeland Security and to vote no on harmful immigration amendments,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-in-support-of-a-clean-funding-bill-for-the-Department-of-Homeland-Security-and-to-vote-no-on-harmful-immigration-amendments,"January 13, 2015"
"Letter to Representatives in support of the ""Fair Play Fair Pay Act""",ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-in-support-of-the-Fair-Play-Fair-Pay-Act,"April 13, 2015"
Letter to Senators urging them to oppose the Fast Track 2015 legislation,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-urging-them-to-oppose-the-Fast-Track-2015-legislation,"June 22, 2015"
Letter to Senators Johnson and Carper urging them to oppose the Arizona Borderlands Protection and Preservation Act,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-Johnson-and-Carper-urging-them-to-oppose-the-Arizona-Borderlands-Protection-and-Preservation-Act,"May 05, 2015"
"Letter to the Senate Banking Committee in opposition to the draft legislation, ""The Financial Regulatory Improvement Act of 2015""",ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-the-Senate-Banking-Committee-in-opposition-to-the-draft-legislation-The-Financial-Regulatory-Improvement-Act-of-2015,"May 20, 2015"
Letter to Representatives in opposition of the Smith Amendment of H.R. 2029,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Representatives-in-opposition-of-the-Smith-Amendment-of-H.R.-2029,"April 29, 2015"
Letter to House Appropriations Committee opposing the 2016 Labor-HHS Appropriations bill,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-House-Appropriations-Committee-opposing-the-2016-Labor-HHS-Appropriations-bill,"June 17, 2015"
Letter to Senate Appropriations Committee expressing concern about the inadequate allocations in the 2016 Labor-HHS Appropriations bill,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senate-Appropriations-Committee-expressing-concern-about-the-inadequate-allocations-in-the-2016-Labor-HHS-Appropriations-bill,"June 25, 2015"
Letter to the Senate Committee on Veterans' Affairs opposing Senator Rubio's  S. 1082,ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-the-Senate-Committee-on-Veterans-Affairs-opposing-Senator-Rubio-s-S.-1082,"July 22, 2015"
Letter to Senators in support of the bipartisan Portman-Stabenow amendment on currency (S.A. 1299),ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-Senators-in-support-of-the-bipartisan-Portman-Stabenow-amendment-on-currency-S.A.-1299,"May 22, 2015"
Letter to the Senate Committee on Indian Affairs urging them to vote against the Tribal Labor Sovereignty Act (S. 248),ww.aflcio.org/Legislation-and-Politics/Legislative-Alerts/Letter-to-the-Senate-Committee-on-Indian-Affairs-urging-them-to-vote-against-the-Tribal-Labor-Sovereignty-Act-S.-248,"June 03, 2015"
